country,country_long,currency,capital_city,region,continent,demonym,latitude,longitude,agricultural_land,forest_area,land_area,rural_land,urban_land,central_government_debt_pct_gdp,expense_pct_gdp,gdp,inflation,self_employed_pct,tax_revenue_pct_gdp,unemployment_pct,vulnerable_employment_pct,electricity_access_pct,alternative_nuclear_energy_pct,electricty_production_coal_pct,electricty_production_hydroelectric_pct,electricty_production_gas_pct,electricty_production_nuclear_pct,electricty_production_oil_pct,electricty_production_renewable_pct,energy_imports_pct,fossil_energy_consumption_pct,renewable_energy_consumption_pct,co2_emissions,methane_emissions,nitrous_oxide_emissions,greenhouse_other_emissions,urban_population_under_5m,health_expenditure_pct_gdp,health_expenditure_capita,hospital_beds,hiv_incidence,suicide_rate,armed_forces,internally_displaced_persons,military_expenditure_pct_gdp,birth_rate,death_rate,fertility_rate,internet_pct,life_expectancy,net_migration,population_female,population_male,population,women_parliament_seats_pct,rural_population,urban_population,press,democracy_score,democracy_type,median_age,political_leader,title
Maldives,Republic of Maldives,Maldivian rufiyaa,Malé,Southern Asia,Asia,Maldivan,3.25,73.00,64.0,8.2,300,259.7,14.4,46.19,29.20,6189870000,2.333,20.403,9.10,4.88,17.26,100.00,,,,,,,,,0.00,1.04,1454.00,137.67,9.22,736.99,18.15,11.35,825.57,4.30,,2.70,5000,,,14.09,3.02,1.69,85.76,80,1189,222471,301315,523787,4.60,306227,217560,2.43,0.00,Unknown,27.20,Ibrahim Mohamed Solih,President
Mali,Republic of Mali,West African CFA franc,Bamako,Western Africa,Africa,Malian,17.00,-4.00,412010.0,132960.0,1220190,1251580.0,1505.0,,14.50,18827200000,3.926,81.328,14.16,2.76,80.71,53.38,,,,,,,,,,63.76,4150.70,23070.50,15086.90,3643.58,0.00,4.31,35.45,0.10,0.26,4.10,21000,380000,2.82,41.64,9.27,5.96,34.49,59,-22236,11186771,11406819,22593590,28.57,12327741,10265849,2.22,5.41,Hybrid regime,11.30,Ibrahim Boubacar Keïta,President
Malta,Republic of Malta,Euro,Valletta,Southern Europe,Europe,Maltese,35.83,14.58,103.8,4.6,320,150.9,173.5,69.81,41.44,17765300000,6.154,15.704,24.23,2.81,11.21,100.00,1.47,0.00,0.00,0.00,0.00,92.33,7.67,98.38,97.79,9.18,1610.70,228.29,47.97,-657.87,1.84,10.84,3135.41,4.49,,6.10,2000,,0.51,8.50,8.00,1.14,87.47,83,10408,250560,272857,523417,27.85,26825,496592,2.63,8.21,Full democracy,35.30,Robert Abela,Prime Minister
Marshall Islands,Republic of the Marshall Islands,U.S. dollar,Majuro,Micronesia,Oceania,Marshallese,9.00,168.00,86.0,94.0,180,271.9,8.6,41.71,59.46,279668000,,,17.16,,,99.75,,,,,,,,,0.00,12.06,110.00,31.91,0.70,,36.26,13.01,731.10,2.70,,,,,,19.28,7.56,2.73,38.70,65,-1901,20346,21223,41569,6.06,8929,32640,0.00,0.00,Unknown,21.60,David Kabua,President
Mauritania,Islamic Republic of Mauritania,Mauritanian ouguiya,Nouakchott,Western Africa,Africa,Mauritanian,20.00,-12.00,396610.0,3128.0,1030700,1045550.0,373.5,,,10375500000,9.525,56.963,,11.11,53.05,47.70,,,,,,,,,,23.44,3847.10,6896.75,3273.34,275.66,19.54,3.36,59.05,0.40,0.13,3.10,21000,,2.38,33.19,7.44,4.40,58.76,64,-1494,2414911,2321228,4736139,20.26,2040187,2695952,2.47,3.82,Authoritarian,13.80,Mohamed Ould Ghazouani,President
Mauritius,Republic of Mauritius,Mauritian rupee,Port Louis,Eastern Africa,Africa,Mauritian,-20.28,57.55,860.0,387.7,2030,1523.8,475.8,57.96,32.96,12898300000,10.774,18.808,18.28,7.23,15.83,99.60,0.80,39.44,4.07,0.00,0.00,37.84,18.65,84.54,84.54,9.41,3720.20,1973.73,221.87,1217.69,1.19,6.66,560.41,3.40,0.54,9.50,3000,,0.17,10.30,10.50,1.41,67.58,74,-478,639989,622533,1262523,20.00,747287,515236,2.75,8.22,Full democracy,33.10,Pravind Jugnauth,Prime Minister
Mexico,United Mexican States,Mexican peso,Mexico City,Central America,Americas,Mexican,23.00,-102.00,971380.0,656921.0,1943950,1920990.0,28588.1,46.29,21.61,1414190000000,7.896,31.589,13.87,3.31,26.70,100.00,3.52,10.87,9.90,59.86,3.72,10.15,5.49,-4.67,90.43,12.33,383131.00,143481.00,43291.20,57197.30,0.63,6.24,538.58,0.98,0.13,5.30,328000,386000,0.68,14.86,9.41,1.82,75.63,70,-52649,65309171,62194954,127504125,50.00,23843271,103660854,1.67,6.19,Flawed democracy,25.40,Andrés Manuel López Obrador,President
Micronesia,Federated States of Micronesia,U.S. dollar,Palikir,Micronesia,Oceania,Micronesian,6.92,158.25,220.0,644.2,700,757.7,7.5,25.40,21.41,427094000,5.409,,6.43,,,83.63,,,,,,,,,,2.03,107.50,52.69,27.55,,3.34,11.56,424.84,3.20,,28.20,,,,20.78,6.21,2.71,40.41,71,-635,56777,57387,114164,7.14,87659,26505,0.00,0.00,Unknown,19.70,David W. Panuelo,President
Moldova,Republic of Moldova,Moldovan leu,Chișinău,Eastern Europe,Europe,Moldovan,47.00,29.00,22646.0,3865.0,32885,31803.7,1576.1,32.12,29.96,14420900000,28.737,21.713,18.39,2.28,21.25,100.00,0.77,0.00,5.06,94.48,0.00,0.15,0.31,90.01,88.69,23.66,8611.20,3287.20,993.18,11.23,0.00,6.78,306.65,5.66,0.30,14.70,6000,,0.41,12.43,16.36,1.81,61.29,69,-14278,1358183,1234294,2592477,40.59,1473227,1119250,2.51,5.85,Hybrid regime,31.20,Ion Chicu,Prime Minister
Monaco,Principality of Monaco,Euro,Monaco,Western Europe,Europe,Monegasque,43.73,7.40,,0.0,2,0.0,2.8,,,8596160000,,,,,,100.00,,,,,,,,,,,,,,,7.30,1.67,3085.44,13.80,,,,,,5.90,6.60,,86.10,,206,18596,17872,36469,33.33,0,36469,0.00,0.00,Unknown,50.50,Albert II,Sovereign Prince
Mongolia,Mongolia,Mongolian tugrik,Ulan Bator,Eastern Asia,Asia,Mongolian,46.00,105.00,1127000.0,141728.0,1557510,1549430.0,355.0,67.57,31.70,16810900000,15.148,47.309,16.91,8.25,45.88,100.00,0.26,92.74,0.00,0.00,0.00,4.17,3.08,-168.09,93.20,3.98,21184.70,18159.40,14245.90,-224.26,0.00,4.94,199.82,8.00,0.01,17.90,18000,,0.66,21.41,6.13,2.84,84.33,71,0,1712979,1685387,3398366,17.11,1055872,2342494,2.65,6.50,Flawed democracy,22.90,Khaltmaagiin Battulga,President
Montenegro,Montenegro,Euro,Podgorica,Southern Europe,Europe,Montenegrin,42.50,19.30,2579.5,8270.0,13450,13146.8,294.6,,,6095980000,13.040,21.087,,15.40,13.44,99.80,12.96,50.35,49.65,0.00,0.00,0.00,0.00,27.57,64.66,39.56,2527.20,783.24,150.66,,2.76,11.42,866.17,3.86,0.03,21.00,12000,,1.74,11.40,14.80,1.75,82.22,74,-101,316129,300030,616159,27.16,196160,419999,2.39,5.74,Hybrid regime,34.40,Duško Marković,Prime Minister
Morocco,Kingdom of Morocco,Moroccan dirham,Rabat,Northern Africa,Africa,Moroccan,32.00,-5.00,303820.0,57424.9,446300,409516.0,4621.4,51.23,25.48,134182000000,6.657,47.914,19.55,10.49,45.63,100.00,1.62,55.53,6.12,18.77,0.00,7.17,8.19,90.72,88.47,10.92,66719.50,12029.80,8693.63,5825.54,1.17,5.99,187.40,1.00,0.02,7.20,246000,,4.18,17.55,6.17,2.33,88.13,74,-46242,18605603,18852368,37457971,24.05,13261620,24196351,1.78,4.99,Hybrid regime,25.00,Mohammed VI,King
Mozambique,Republic of Mozambique,New Mozambican metical,Maputo,Eastern Africa,Africa,Mozambican,-18.25,35.00,414138.0,367438.0,786380,775002.0,2943.2,86.24,23.88,17851500000,10.279,85.133,23.31,3.91,82.60,31.49,9.17,0.00,86.41,12.83,0.00,0.76,0.00,-54.60,12.62,80.91,6945.50,16255.50,9599.74,680.83,1.31,7.62,34.28,0.70,,13.60,11000,1030000,1.51,36.60,8.79,4.64,17.37,59,-9515,16793302,16176217,32969518,42.40,20379448,12590070,2.39,3.85,Authoritarian,13.00,Filipe Nyusi,President
Myanmar,Republic of the Union of Myanmar,Myanmar kyat,Naypyidaw,South-Eastern Asia,Asia,Burmese,22.00,98.00,130080.0,285439.0,652670,660980.0,5783.5,0.00,14.74,59364400000,8.825,66.380,6.44,1.48,64.00,72.47,3.13,1.78,58.85,39.02,0.00,0.34,0.00,-32.97,44.29,59.75,33874.60,72110.00,22956.50,5188.22,3.35,4.62,72.11,1.04,0.20,2.90,513000,1498000,3.33,17.10,9.77,2.15,44.02,66,-35382,27216740,26962566,54179306,15.29,36965999,17213307,1.74,3.83,Authoritarian,25.30,Win Myint,President
Namibia,Republic of Namibia,Namibian dollar,Windhoek,Southern Africa,Africa,Namibian,-22.00,17.00,388100.0,66389.0,823290,827174.0,342.3,4.64,37.98,12607400000,6.081,38.466,27.97,20.85,32.04,55.23,17.79,0.46,97.79,0.00,0.00,1.76,0.00,74.44,66.72,31.30,3952.80,5335.78,3921.07,708.17,0.11,8.90,379.54,2.70,2.91,9.70,16000,,3.00,27.44,10.71,3.30,52.97,59,-4301,1328449,1238563,2567012,44.23,1181955,1385057,4.13,6.25,Flawed democracy,17.40,Hage Geingob,President
Nauru,Republic of Nauru,Australian dollar,Yaren,Micronesia,Oceania,Nauruan,-0.53,166.92,4.0,0.0,20,15.1,7.0,,103.60,150922000,-0.125,,44.35,,,100.00,,,,,,,,,,2.09,41.40,4.29,0.40,48.88,7.45,11.97,1143.74,5.00,,,,,,27.56,6.63,3.52,83.94,64,-66,6233,6435,12668,10.53,0,12668,0.00,0.00,Unknown,16.30,Lionel Aingimea,President
